Tumor ID	IA score	Cluster type
gsm1205654	0.768842207	Immunogenic
gsm1205273	0.769044197	Immunogenic
gsm1205272	0.774176206	Neuronal
gsm1205664	0.775365023	Metabolic
gsm1205258	0.776028046	Immunogenic
gsm1205659	0.77720607	Immunogenic
gsm1205382	0.781041327	Neuronal
gsm1205593	0.785966205	Immunogenic
gsm1205596	0.786904718	Immunogenic
gsm1205660	0.791564386	Immunogenic
gsm1205472	0.808285431	Immunogenic
gsm1205517	0.827339908	Neuronal
